instance_id,model_name,architecture,input_type,perturbation_type,input_text,gold_mention,gold_cui,generated_answer,mapping_mode
mm_0086753,FLAN-T5-XXL,generative,original,original,"In this study, we examined the susceptibility of Apoe - deficient and Ldlr - deficient mice, which are genetic animal models of atherosclerosis to azoxymethane (AOM)/ dextran sodium sulfate (DSS)- induced colorectal carcinogenesis.",examined,UMLS:C0220825,colorectal carcinogenesis,text-generation
mm_0056003,FLAN-T5-XXL,generative,original,original,"In this study, we showed that TEA and 4-AP insensitive non-inactivating outward K(+) current (NIOK) may be responsible for the quiescence of murine pregnant longitudinal myometrium.",TEA,UMLS:C0076252,quiescence,text-generation
mm_0191008,FLAN-T5-XXL,generative,original,original,Here we show that NADPH oxidase activation is closely related to heavy ion radiation - induced cell death via excessive ROS generation.,activation,UMLS:C0014429,radiation,text-generation
mm_0169892,FLAN-T5-XXL,generative,original,original,The results may provide a reference to improve diagnostic accuracy and predict and monitor treatment efficacy in anaphylactoid reactions in the clinical setting.,reference,UMLS:C1514811,anaphylactoid reaction,text-generation
mm_0112789,FLAN-T5-XXL,generative,original,original,"Mechanistically, global cerebral edema has been linked to global ischemia at the time of aneurysm rupture, dysfunction of autoregulation, blood breakdown products, neuroinflammation, and hyponatremia / endocrine abnormalities.",endocrine abnormalities,UMLS:C4025823,cerebral edema,text-generation
mm_0064655,FLAN-T5-XXL,generative,original,original,"The unadjusted odds of HTN in patients with VWD (odds ratio [OR] = 0.611, P < .0001) and of HTN outcomes in patients with VWD (ASHD, OR = 0.509; MI, OR = 0.422; ischemic stroke, OR = 0.521; renal failure, OR = 0.420, all P < .0001) became insignificant after adjustment for HTN risk factors plus demographics (age / race / gender), OR = 1.035, P = .260.",race,UMLS:C0034510,hypertension,text-generation
mm_0015817,FLAN-T5-XXL,generative,original,original,"Another significant factor for previously undiagnosed glaucoma was smaller cup-to-disc ratio (odds ratio, OR, 0.60/0.1 units, 95% CI 0.43-0.85/0.1 units, p = 0.004).",glaucoma,UMLS:C0339573,glaucoma,text-generation
mm_0198407,FLAN-T5-XXL,generative,original,original,"In this cross-sectional study, long-term bladder cancer survivors identified through an institutional database were mailed a survey that included the Functional Assessment of Cancer Therapy Bladder Cancer (FACT-BL) and the International Physical Activity Questionnaire (IPAQ).",survey,UMLS:C0038951,bladder cancer,text-generation
mm_0153880,FLAN-T5-XXL,generative,original,original,"Pharmacist Counseling and the Use of Nonsteroidal Anti-Inflammatory Drugs by Older Adults To determine the impact a medication review has on the detection and use of nonsteroidal anti-inflammatory drugs (NSAIDs) by older adults compared with non-NSAID users in regard to interacting drug classes, interacting comorbidities, and prior counseling by providers.",detection,UMLS:C1511790,nonsteroidal anti-inflammatory drugs,text-generation
mm_0034135,FLAN-T5-XXL,generative,original,original,"UTLE patients more frequently displayed maximal epileptogenicity in hippocampal structures, whereas BTLE patients had maximal values in subhippocampal areas (entorhinal cortex, temporal pole, parahippocampal cortex).",temporal pole,UMLS:C0149552,epileptic,text-generation
mm_0095310,FLAN-T5-XXL,generative,original,original,"Recent work suggests that successful inhibition and cognitive control involve electrophysiological theta-band dynamics, including medial frontal cortex (MFC) power enhancement and functional connectivity between the MFC and dorsal prefrontal cortex (dPFC) regions, which may be disrupted by alcohol misuse.",dorsal prefrontal cortex,UMLS:C4019080,alcohol,text-generation
mm_0043796,FLAN-T5-XXL,generative,original,original,Surgical Guidance via Multiplexed Molecular Imaging of Fresh Tissues Labeled with SERS -Coded Nanoparticles The imaging of dysregulated cell-surface receptors (or biomarkers) is a potential means of identifying the presence of cancer with high sensitivity and specificity.,Surgical,UMLS:C0543467,cancer,text-generation
mm_0148711,FLAN-T5-XXL,generative,original,original,MicroRNAs were grouped into diagnostic indices of varying complexity.,MicroRNAs,UMLS:C1101610,diagnostic index,text-generation
mm_0184130,FLAN-T5-XXL,generative,original,original,The prevalence of positive sinus cultures increased from 40% to 85% between 1996-2004 and 2010-2014 (P = .018).,positive,UMLS:C1514241,sinus,text-generation
mm_0098599,FLAN-T5-XXL,generative,original,original,"During the CDSS validation iteration, participants took more time to complete tasks with a median (IQR) of 183 (124-247) seconds versus 101 (73.5-197) seconds in the development iteration (p=0.01).",iteration,UMLS:C1854293,CDSS,text-generation
mm_0046915,FLAN-T5-XXL,generative,original,original,"Acute Kinematic and Kinetic Adaptations to Wearable Resistance During Sprint Acceleration Macadam, P, Simperingham, KD, and Cronin, JB.",Adaptations,UMLS:C0392673,wearable resistance,text-generation
mm_0052571,FLAN-T5-XXL,generative,original,original,"The resistance of sour orange to Citrus tristeza virus is mediated by both the salicylic acid and RNA silencing defence pathways Citrus tristeza virus (CTV) induces in the field the decline and death of citrus varieties grafted on sour orange (SO) rootstock, which has forced the use of alternative decline - tolerant rootstocks in affected countries, despite the highly desirable agronomic features of the SO rootstock.",rootstocks,UMLS:C0032098,tristeza virus,text-generation
mm_0196264,FLAN-T5-XXL,generative,original,original,"GOX activity and transcripts are upregulated concurrently with food ingestion and body growth, downregulated with stopping ingestion and wandering for pupation in both species.",downregulated,UMLS:C0013081,gene,text-generation
mm_0184337,FLAN-T5-XXL,generative,original,original,"Pre-transfusion testing and the RBC crossmatch: transfusion (C:T) ratios at 8 of the hospitals were compared between the 12 month period before the dMSBOS was introduced, and the 15 months after its introduction.",transfusion,UMLS:C0005841,transfusion,text-generation
mm_0181168,FLAN-T5-XXL,generative,original,original,"A cross-sectional study was performed on 1,001 adolescents (13.2 ± 1.2 years) randomly recruited from schools in southeast Spain.",cross-sectional study,UMLS:C0010362,cross-sectional study,text-generation
mm_0094778,FLAN-T5-XXL,generative,original,original,"Methods: A pair-matched, placebo-controlled study design included 20 resistance-trained participants assigned to IHRT (FIO2 0.143) or placebo (FIO2 0.20), (n = 10 per group).",IHRT,UMLS:C0872279,placebo,text-generation
mm_0120578,FLAN-T5-XXL,generative,original,original,"We recommend that practitioners locate the problem of fat shame in society as opposed to the individual person's body and provide individuals with tools to identify and resist fat stigma and oppression, rather than provide them with tools to reshape their bodies.",practitioners,UMLS:C0017319,fat shame,text-generation
mm_0082339,FLAN-T5-XXL,generative,original,original,"However, while IBA-1 mRNA expression was not modified, CX3CR1 mRNA expression was lower in the striatum of 100SBDE exposed rats regardless of genotype, suggesting a downregulation of the fractalkine receptor on microglia in this brain region.",brain region,UMLS:C1273723,mRNA,text-generation
mm_0051763,FLAN-T5-XXL,generative,original,original,"Although axons grew rapidly, remyelination and nodal ion channel clustering was much slower.",remyelination,UMLS:C0334220,remyelination,text-generation
mm_0133581,FLAN-T5-XXL,generative,original,original,Bioactive Polymeric Materials for Tissue Repair Bioactive polymeric materials based on calcium phosphates have tremendous appeal for hard tissue repair because of their well-documented biocompatibility.,Bioactive polymeric materials,UMLS:C0032521,tissue repair,text-generation
mm_0139717,FLAN-T5-XXL,generative,original,original,europaea are given to show both the inter- and the intraspecific differences of the genus.,genus,UMLS:C1708235,genus,text-generation
mm_0160569,FLAN-T5-XXL,generative,original,original,"Intestinal epithelial ErbB3 knockout caused precocious appearance of PCs as early as postnatal day 7, and substantially increased the number of mature PCs in adult mouse ileum.",PCs,UMLS:C0227276,precocious appearance,text-generation
mm_0156493,FLAN-T5-XXL,generative,original,original,"For instance, by combining methods reflecting neurovascular status one could obtain more information on low frequency fluctuations that have recently gained increasing interest as a mediator of functional connectivity within brain networks.",neurovascular status,UMLS:C1828265,neurovascular status,text-generation
mm_0193331,FLAN-T5-XXL,generative,original,original,Standard protocol was followed for nonsurgical retreatment of each tooth.,Standard protocol,UMLS:C2348563,nonsurgical retreatment,text-generation
mm_0067336,FLAN-T5-XXL,generative,original,original,"Meta-analysis showed no significant relationship between HIV infection and the development of GDM [risk ratio 0.80, 95% confidence interval (CI): 0.47-1.37, I = 0%].",HIV infection,UMLS:C0019693,HIV infection,text-generation
mm_0141706,FLAN-T5-XXL,generative,original,original,The piperidinol and the bis-Mannich base analogue were found to be selective for mycobacteria and rapidly kill this organism with a cytotoxicity selectivity index for mycobacteria of >30-fold.,cytotoxicity,UMLS:C0596402,mycobacteria,text-generation
mm_0179114,FLAN-T5-XXL,generative,original,original,"Associations Between Emotional Abuse and Neglect and Dimensions of Alexithymia: The Moderating Role of Sex Child maltreatment, specifically emotional maltreatment (i.e., an act, such as belittling, blaming, or rejection, that is potentially harmful to a child's emotional development), has emerged as an important correlate of alexithymia.",Child maltreatment,UMLS:C0008060,alexithymia,text-generation
mm_0017862,FLAN-T5-XXL,generative,original,original,"coli Bio particles, GE particles) were added to mouse -derived macrophage cell lines (J774.1) and then incubated for 2 h at 37°C.",J774.1,UMLS:C1513528,macrophage,text-generation
mm_0027509,FLAN-T5-XXL,generative,original,original,Targeted-NGS on genes commonly mutated in IPMN and PDAC was performed on tumors from (1) 13 patients who developed disease progression in the remnant pancreas following resection of IPMN; and (2) 10 patients who underwent a resection for PDAC and had a concomitant IPMN.,resection,UMLS:C0015252,pancreatic cancer,text-generation
mm_0133554,FLAN-T5-XXL,generative,original,original,"A total of 1,372 newly enrolling veterans in 2 cohorts participated in a study to assess veteran satisfaction, determine accessibility and clinical processes, measure screening differences, and examine connection to care between eScreening and paper screening.",eScreening,UMLS:C1710032,eScreening,text-generation
mm_0062397,FLAN-T5-XXL,generative,original,original,"Accuracy of FDG-PET/CT for Detection of Incidental Pre-Malignant and Malignant Colonic Lesions - Correlation with Colonoscopic and Histopathologic Findings We evaluated all PET/CTs acquired for patients without a primary diagnosis of colorectal cancer, and compared results for those who had subsequent colonoscopy within 6 months, to assess the accuracy of FDG PET/CT for detection of incidental pre-malignant polyps and malignant colon cancers.",Malignant Colonic Lesions,UMLS:C0349051,colorectal cancer,text-generation
mm_0074383,FLAN-T5-XXL,generative,original,original,"Generally, lesions are present in the descending part of the duodenum in an annular pancreas, and the pancreatic and bile ducts join in the papillary region.",pancreatic,UMLS:C0030288,pancreas,text-generation
mm_0033033,FLAN-T5-XXL,generative,original,original,"Changes in clinical measures (near point of convergence, positive fusional vergence at near, Convergence Insufficiency Symptom Survey [CISS] score) were evaluated.",CISS,UMLS:C0282574,convergence insufficiency,text-generation
mm_0009136,FLAN-T5-XXL,generative,original,original,All of these compartments are commonly assumed to originate from an early set of Gdf5 - expressing progenitors populating the interzone domain.,expressing,UMLS:C0017262,interzone domain,text-generation
mm_0085517,FLAN-T5-XXL,generative,original,original,Due to the implication of HER2 and angiogenesis -directed targeted therapies major advances in the treatment of gastric cancer could be reached.,targeted therapies,UMLS:C2985566,gastric cancer,text-generation
mm_0125575,FLAN-T5-XXL,generative,original,original,"The pre-administration of excess nonradioactive exendin(9-39) significantly reduced accumulation in both the tumor and pancreas (76% and 68 % inhibition, respectively) at 1h after (111)In-BnDTPA-exendin(9-39) injection, indicating that the GLP-1R mediated a majority of (111)In-BnDTPA-exendin(9-39) uptake in the tumor and pancreas.",(111)In-BnDTPA-exendin(9-39),UMLS:C0358514,GLP-1 receptor,text-generation
mm_0050288,FLAN-T5-XXL,generative,original,original,Descriptive and inferential statistics were used.,Descriptive,UMLS:C0678257,descriptive,text-generation
mm_0055448,FLAN-T5-XXL,generative,original,original,"During a routine gross anatomy dissection class for undergraduate students at the All India Institute of Medical Sciences, New Delhi, India, in 2016, a rare unilateral variation in the obturator vasculature was found in a female cadaver of approximately 55 years of age.",New Delhi,UMLS:C0017446,obturator vasculature,text-generation
mm_0007146,FLAN-T5-XXL,generative,original,original,A left lower lobectomy was performed to evaluate chronic-phase durability of the sealed stumps in a survival model.,survival model,UMLS:C0599779,lobectomy,text-generation
mm_0117559,FLAN-T5-XXL,generative,original,original,The authors outline an alternative operative approach significantly decreasing surgical complexity and therefore post-operative morbidity.,post-operative,UMLS:C0241311,operative approach,text-generation
mm_0103773,FLAN-T5-XXL,generative,original,original,Histomorphometric and transcriptome evaluation of early healing bone treated with a novel human particulate dentin powder Human particulate dentin (HPD) shows potential as an alternative bone grafting material.,transcriptome,UMLS:C3178810,bone grafting,text-generation
mm_0098533,FLAN-T5-XXL,generative,original,original,The Impact of Diabetes on the Risk of Prostate Cancer Development according to Body Mass Index: A 10-year Nationwide Cohort Study Purpose: We examined the association between obesity and prostate cancer both with and without diabetic patients included in the analysis using nationally representative data of the Korean population from the National Health Insurance System (NHIS).,Korean population,UMLS:C1556095,diabetes,text-generation
mm_0184320,FLAN-T5-XXL,generative,original,original,"This study compared blood ordering and utilization during the period when the MSBOS was created by achieving consensus between the blood bank and the various surgical specialties, and after the introduction of an MSBOS created by using department-specific red blood cell (RBC) transfusion data (data driven MSBOS, dMSBOS).",study,UMLS:C2603343,blood transfusion,text-generation
mm_0110256,FLAN-T5-XXL,generative,original,original,Here we present a multiple samples deep sequencing method employing the Illumina platform to detect HBV quasispecies variation in patient-derived samples.,present,UMLS:C0150312,hbv,text-generation
mm_0073575,FLAN-T5-XXL,generative,original,original,"A three perspective study of the sense of home of nursing home residents: the views of residents, care professionals and relatives The sense of home of nursing home residents is a multifactorial phenomenon which is important for the quality of living.",home,UMLS:C0442519,sense of home,text-generation
mm_0135623,FLAN-T5-XXL,generative,original,original,"The nursing student cohort had no formal, explicit empathy training.",cohort,UMLS:C0599755,empathy,text-generation
mm_0063933,FLAN-T5-XXL,generative,original,original,Randomized Trial of Long-Acting Insulin Glargine Titration Web Tool (LTHome) Versus Enhanced Usual Therapy of Glargine Titration (INNOVATE Trial) Basal insulin titration in the real world is often unsuccessful.,Titration,UMLS:C0162621,insulin titration,text-generation
mm_0061241,FLAN-T5-XXL,generative,original,original,"Both intra - and interspecific identity and richness of ECM fungi regulate ecosystem multifunctionality, but their effects on the direction and magnitude of individual variables differ.",interspecific,UMLS:C1705920,ecosystem,text-generation
mm_0106448,FLAN-T5-XXL,generative,original,original,GCC changes appear at the commencement of visual loss and in some cases prior to vision loss.,vision loss,UMLS:C0042798,glaucoma,text-generation
mm_0007332,FLAN-T5-XXL,generative,original,original,"Fatigue (33%) and diarrhea (20%) were the most common grade ≥3 all-causality, treatment -emergent adverse events.",Fatigue,UMLS:C0015672,diarrhea,text-generation
mm_0094434,FLAN-T5-XXL,generative,original,original,"Real-time monitoring of vesicle pH in an endocytic pathway using an EGF - conjugated two-photon probe Herein, we developed a ratiometric two-photon probe (BHS3 - EGF), derived from a pH sensitive dye and epidermal growth factor (EGF), for real-time monitoring and quantitative analysis of acidic luminal pH values during endocytic pathway activity.",conjugated two-photon probe,UMLS:C2347609,endocytic pathway,text-generation
mm_0057864,FLAN-T5-XXL,generative,original,original,"Although MDO has been shown to improve the apnea-hypopnea index (AHI) in children with PRS, the consequences of MDO on other aspects of infant sleep, including hypercapnea, hypoxia, the REM to Non-REM ratio, as well as its effect on central and mixed apneas has not been investigated with an adequate sample size.",improve,UMLS:C0184511,apnea-hypopnea index,text-generation
mm_0135626,FLAN-T5-XXL,generative,original,original,"Irrespective of profession, length of practicum or exposure to specific empathy training, there were no significant differences in the self-reported JSPE scores across the seven different cohorts of students.",cohorts,UMLS:C0599755,empathy,text-generation
mm_0043171,FLAN-T5-XXL,generative,original,original,Primary pituitary diffuse large B-cell lymphoma with somatotroph hyperplasia and acromegaly: case report Diffuse large B-cell lymphoma (DLBCL) is the most common type of non-Hodgkin lymphoma and comprises approximately 30% of all lymphomas.,non-Hodgkin lymphoma,UMLS:C0024305,diffuse large B-cell lymphoma,text-generation
mm_0165626,FLAN-T5-XXL,generative,original,original,"Recommendations for CSF AD biomarkers in the diagnostic evaluation of dementia This article presents recommendations, based on the Grading of Recommendations, Assessment, Development, and Evaluation method, for the clinical application of cerebrospinal fluid (CSF) amyloid-β1-42, tau, and phosphorylated tau in the diagnostic evaluation of patients with dementia.",dementia,UMLS:C0497327,dementia,text-generation
mm_0175242,FLAN-T5-XXL,generative,original,original,We show here that nitric oxide (NO) generated by endothelial nitric oxide synthase (eNOS) controls the coalescence of protein kinase C-θ (PKC-θ) at the central supramolecular activation cluster (c-SMAC) of the IS.,NO,UMLS:C0028128,endothelial nitric oxide synthase,text-generation
mm_0187792,FLAN-T5-XXL,generative,original,original,Study carried out in a preclinical porcine model Totally subcutaneous implantable cardioverter defibrillator (S-ICD) delivers higher shock energy and can have longer time to therapy compared to transvenous implantable cardioverter defibrillator (T-ICD).,transvenous implantable cardioverter defibrillator,UMLS:C0810516,implantable cardioverter defibrillator,text-generation
mm_0008874,FLAN-T5-XXL,generative,original,original,Morphological and crystallographic examinations of the immersed coatings revealed that the degradation of struvite and the release of Sr(2+) ions were accompanied by a transformation of the coating to a calcium phosphate based phase similar to low-crystalline hydroxyapatite.,Sr(2+) ions,UMLS:C0038467,struvite,text-generation
mm_0018948,FLAN-T5-XXL,generative,original,original,"Colony Expansion of Socially Motile Myxococcus xanthus Cells Is Driven by Growth, Motility, and Exopolysaccharide Production Myxococcus xanthus, a model organism for studies of multicellular behavior in bacteria, moves exclusively on solid surfaces using two distinct but coordinated motility mechanisms.",bacteria,UMLS:C0004611,bacterium,text-generation
mm_0026424,FLAN-T5-XXL,generative,original,original,Monascus - fermented MS and AK can perform blood lipid regulation via the suppression of LDL-C assembly and stimulation of apo A1 expression in liver.,fermented,UMLS:C0015852,blood lipid,text-generation
mm_0069838,FLAN-T5-XXL,generative,original,original,"The purpose of this study was to describe types and locations of substitutes for missing teeth in patients with severe hypodontia and to compare the crown and soft tissue morphologies of orthodontic space closure, dental implants, and tooth -supported fixed dental prostheses for replacing teeth in the anterior region.",orthodontic space closure,UMLS:C0376671,hypodontia,text-generation
mm_0124433,FLAN-T5-XXL,generative,original,original,"Invasive fungal infections in renal transplant patients: a single center study Timely diagnosis of invasive fungal infections (IFI) in renal transplant (RT) patients on immunosuppression is often difficult, jeopardizing their life and graft.",RT,UMLS:C0022671,invasive fungal infections,text-generation
mm_0052672,FLAN-T5-XXL,generative,original,original,"Specifically, in both groups, subjects with 1-hour post-load glucose ≥155 mg/dl had higher fasting and 2-h post-load glucose (p < 0.0001 for all in both group s), higher HOMA-IR (p < 0.0001 in both groups), and carotid IMT (p = 0.05 in the group with HbA1c <5.7% and p = 0.03 in the group HbA1c 5.7-6.4%), as well as lower Matsuda index, insulinogenic index and disposition index (p < 0.0001 in both groups), and lower insulin - stimulated glucose disposal (p < 0.0001 in the group with HbA1c <5.7% and p = 0.03 in the group HbA1c 5.7-6.4%).",HbA1c,UMLS:C0019018,1-hour post-load glucose,text-generation
mm_0101708,FLAN-T5-XXL,generative,original,original,All the diagnosed TB patients were linked to TB treatment and care.,TB,UMLS:C0041296,tuberculosis,text-generation
mm_0177855,FLAN-T5-XXL,generative,original,original,"However, inverse - computed HDF regions showed robustness against induced uncertainties: from 82% ± 18% match for the best conditions, down to 73% ± 23% for 10-dB noise, 77% ± 21% for 5-cm displacement, and 60% ± 22% for 36° rotation.",uncertainties,UMLS:C0087130,HDF,text-generation
mm_0071441,FLAN-T5-XXL,generative,original,original,The convergence of chronic ER stress towards apoptosis in pancreas / liver was also indicated by increased levels of CHOP mRNA & increased activity of both JNK and Caspase-3 in rats subjected to high-fat / fructose diets.,rats,UMLS:C0034721,apoptosis,text-generation
mm_0032024,FLAN-T5-XXL,generative,original,original,The 2012-2013 National Surgical Quality Improvement Program Participant Data Use File was queried for patients undergoing elective SL or HAL colectomy.,National Surgical Quality Improvement Program Participant Data Use File,UMLS:C0242193,colectomy,text-generation
mm_0076632,FLAN-T5-XXL,generative,original,original,"Our results indicate that SCU could attenuate vasospasm and neurological deficits via modulating the Erk5 - KLF2 - eNOS pathway after SAH, which may provide an experimental basis for the clinical use of SCU treatment in SAH patients.",SAH,UMLS:C0038525,vasospasm,text-generation
mm_0143950,FLAN-T5-XXL,generative,original,original,A common approach to analysis of marine organic matter uses acid to hydrolyze the glycans into measurable monosaccharides.,glycans,UMLS:C0032594,acid,text-generation
mm_0111723,FLAN-T5-XXL,generative,original,original,"Seventeen patients died during the three years of follow-up (7 (39%) in the low PSAP group and only 10 (1%) in the high PSAP group, p=0.041).",follow-up,UMLS:C1522577,death,text-generation
mm_0048307,FLAN-T5-XXL,generative,original,original,Dietary Intake and Cardiovascular Risk Factors in Icelanders Following Voluntarily a Low Carbohydrate Diet Most studies regarding low-carbohydrate diets (LCDs) have been intervention studies.,LCDs,UMLS:C0259836,carbohydrate,text-generation
mm_0054752,FLAN-T5-XXL,generative,original,original,"Using MES-SA cells with RNAi-silenced p53 expression and several p53 - deficient tumor cell lines undergoing SAHA - induced autophagy, we could generally validate our finding suggesting an inhibitory role for p53 in the autophagic pathway in response to SAHA treatment.",p53,UMLS:C0080055,autophagy,text-generation
mm_0189992,FLAN-T5-XXL,generative,original,original,Associations of NEUROD2 polymorphisms and change of cognitive dysfunctions in schizophrenia and schizoaffective disorder after eight weeks of antipsychotic treatment NEUROD2 is a neurospecific helix-loop-helix transcription factor which has an impact on the regulation of glutamatergic and GABAergic genes.,treatment,UMLS:C0087111,schizophrenia,text-generation
mm_0036569,FLAN-T5-XXL,generative,original,original,We investigated the ultrasonographic findings of the IJV and carotid artery (CA) in recipients of kidney transplantation (KT) and identified factors influencing IJV / CA abnormalities.,recipients,UMLS:C1709854,carotid artery,text-generation
mm_0133687,FLAN-T5-XXL,generative,original,original,"Biofunctional polyethylene glycol coatings on titanium: An in vitro -based comparison of functionalization methods Three methods for the production of Polyethylene glycol (PEG) coatings on titanium are compared, i.e.",methods,UMLS:C0025663,polyethylene glycol,text-generation
mm_0174037,FLAN-T5-XXL,generative,original,original,"Chemotactic Behaviors of Vibrio cholerae Cells Vibrio cholerae, the causative agent of cholera, swims in aqueous environments with a single polar flagellum.",Vibrio cholerae,UMLS:C0042629,cholera,text-generation
mm_0007533,FLAN-T5-XXL,generative,original,original,"Phytoplankton production and taxon - specific growth rates in the Costa Rica Dome During summer 2010, we investigated phytoplankton production and growth rates at 19 stations in the eastern tropical Pacific, where winds and strong opposing currents generate the Costa Rica Dome (CRD), an open - ocean upwelling feature.",Costa Rica Dome,UMLS:C0010182,phytoplankton,text-generation
mm_0046898,FLAN-T5-XXL,generative,original,original,"In Experiment 2, results showed that age-peers rated PD patients as significantly less socially desirable than control participants.",participants,UMLS:C0679646,Parkinson's disease,text-generation
mm_0021148,FLAN-T5-XXL,generative,original,original,"Our studies results suggest that abnormal expression of AT1-AA could induce damage to retinal capillary endothelial cells and increase vascular permeability, resulting in retinopathy.",studies,UMLS:C2603343,retinopathy,text-generation
mm_0112509,FLAN-T5-XXL,generative,original,original,"Thus, it becomes imperative to understand the distribution of butyrate metabolism pathways and delineate differences in substrate utilization between pathogens and commensals.",butyrate metabolism pathways,UMLS:C1158849,butyrate metabolism,text-generation
mm_0093512,FLAN-T5-XXL,generative,original,original,"Furthermore, we identified that miR-9600 augmented paclitaxel and cisplatin sensitivity by downregulating STAT3 and promoting chemotherapy - induced apoptosis.",chemotherapy,UMLS:C3665472,chemotherapy,text-generation
mm_0184313,FLAN-T5-XXL,generative,original,original,"For our test fleet, the measured 14.5% decrease in CO2 emissions from GDIs was much greater than the potential climate forcing associated with higher black carbon emissions.",emissions,UMLS:C0004380,climate,text-generation
mm_0090144,FLAN-T5-XXL,generative,original,original,The role of P2X7 receptors in a rodent PCP - induced schizophrenia model P2X7 receptors (P2X7Rs) are ligand-gated ion channels sensitive to extracellular ATP.,model,UMLS:C0012644,p2x7 receptors,text-generation
mm_0087688,FLAN-T5-XXL,generative,original,original,"Here we demonstrate that in arthritic, but also in healthy, mice administration of agents that influence macrophage activity / number and/or addition of empty decoy capsids substantially improve the efficacy of recombinant adeno-associated viral vector 5 transgene expression in the joint.",joint,UMLS:C0022417,adeno-associated viral vector,text-generation
mm_0007841,FLAN-T5-XXL,generative,original,original,"This was associated with an increasing proportion of single men, those living alone, unemployment, consumption of alcohol, use of hanging, previous suicide attempt and history of treatment for mental illness.",hanging,UMLS:C0544691,suicide,text-generation
mm_0152117,FLAN-T5-XXL,generative,original,original,Anthracyclines treatment was associated with an increase in heart rate (HR) and a decrease in TP.,HR,UMLS:C0018810,heart rate,text-generation
mm_0064287,FLAN-T5-XXL,generative,original,original,Peripheral mobilization of venous blood from the arm (capacitance response and net capillary fluid absorption) and lower limb blood pooling (calf capacitance response) were evaluated with volumetric technique.,capacitance response,UMLS:C0282551,peripheral blood pooling,text-generation
mm_0193351,FLAN-T5-XXL,generative,original,original,"Conclusion: Regarding elimination of intraradicular microbiota, additional PDT may increase the effectiveness of conventional chemomechanical preparation in previously root filled teeth accompanied by AP.",root filled,UMLS:C0035848,elimination,text-generation
mm_0127390,FLAN-T5-XXL,generative,original,original,"Barriers to access and uptake of antiretroviral therapy among HIV-positive men who have sex with men in Hanoi, Vietnam: from HIV testing to treatment Little is known about the experiences of Vietnamese men who have sex with men in accessing HIV testing and treatment.",treatment,UMLS:C0087111,antiretroviral therapy,text-generation
mm_0184531,FLAN-T5-XXL,generative,original,original,This result shows although exons 1 and 2 of the pig UCP1 gene were transcribed but not translated in the pig adipose tissue.,translated,UMLS:C1519614,gene,text-generation
mm_0037301,FLAN-T5-XXL,generative,original,original,"Here, we systematically dissected these features along developmental progression using mouse embryonic stem cells (mESCs) and single-cell RNA sequencing with allelic resolution.",allelic,UMLS:C0002085,mouse embryonic stem cell,text-generation
mm_0088026,FLAN-T5-XXL,generative,original,original,"In addition, the same group showed a longer DI but a shorter DUI (p?<?.01).",showed,UMLS:C0243095,di,text-generation
mm_0115142,FLAN-T5-XXL,generative,original,original,"We used the Methylated CpG Island Recovery Assay chip to survey DNA methylation in cord blood mononuclear cells from 36 children (18 nonasthmatic and 18 asthmatic subjects by age 9 years) from the Infant Immune Study (IIS), an unselected birth cohort closely monitored for asthma for a decade.",Study,UMLS:C2603343,DNA methylation,text-generation
mm_0166051,FLAN-T5-XXL,generative,original,original,"Patterns of association of themes were found, however themes were also used independently in unique combinations for most students described.",Patterns,UMLS:C0449774,association,text-generation
mm_0075358,FLAN-T5-XXL,generative,original,original,A venous (adults) or capillary (children) sample was taken for immediate HbA1c analysis.,capillary (children) sample,UMLS:C0444254,capillary,text-generation
mm_0123899,FLAN-T5-XXL,generative,original,original,"We examined whether the type of EEG performed affected seizure treatment decisions (e.g., the choice and number of antiseizure drugs [ASDs]) in therapeutic hypothermia-treated neonates with HI from 2007 to 2015 in the Johns Hopkins Hospital Neonatal Intensive Care Unit.",ASDs,UMLS:C1254351,EEG,text-generation
mm_0023586,FLAN-T5-XXL,generative,original,original,"Proplatelet formation by Hyal-2 knockout megakaryocytes was disrupted because of abnormal formation of the demarcation membrane system, which was dilated and poorly developed.",knockout,UMLS:C1522225,platelet,text-generation
mm_0027520,FLAN-T5-XXL,generative,original,original,"In parallel, clinical and pathological characteristics of 260 patients who underwent resection of noninvasive IPMN were reviewed to identify risk factors associated with local progression.",local,UMLS:C0205276,resection,text-generation
mm_0102700,FLAN-T5-XXL,generative,original,original,"Thus COUP-TFII + progenitors gave rise to pyramidal cells, but also interneurons which not only migrated posteriorly into the cortex from ventral CGE but also anteriorly via the LGE.",cortex,UMLS:C0007776,interneuron,text-generation
mm_0055392,FLAN-T5-XXL,generative,original,original,"Specifically, good and poor performers were evaluated regarding anxiety traits exhibited in the elevated plus maze (EPM) and corticosterone levels and motor activity in the open field test.",open field test,UMLS:C0022885,anxiety,text-generation
mm_0037241,FLAN-T5-XXL,generative,original,original,"Using chemogenetics on the basis of designer receptors exclusively activated by designer drugs, we demonstrated that the inhibition of A2AR neurons increased REM sleep, whereas the activation of these neurons decreased REM sleep.",designer drugs,UMLS:C0011684,REM sleep,text-generation
mm_0021524,FLAN-T5-XXL,generative,original,original,"Presence of all these peptides in CSF, ISF, blood serum and urine of the AD patients is crucial for successful diagnosis, giving rise to hope of their better detection and potentially better treatment of AD.",CSF,UMLS:C0007806,Alzheimer's disease,text-generation
